Temporal Difference ,Q-Learning,TD increase,Average Reward-TD,,Average Reward increase
4,-379,-9475%,,,
-16,-424,2650%,,,
-22,-424,1927%,,,
8,-433,-5413%,,,
6,-289,-4817%,,,
-31,-379,1223%,,,
0,-433,#DIV/0!,,,
-38,-316,832%,,,
-10,-316,3160%,,,
-10,-370,3700%,,,
1,-379,-37900%,,,
-2,-334,16700%,,,
9,-325,-3611%,,,
9,-442,-4911%,,,
8,-442,-5525%,,,
7,-397,-5671%,,,
9,-388,-4311%,,,
2,-424,-21200%,,,
5,-379,-7580%,,,
-106,-406,383%,,,
13,-177,-1362%,,,
-17,-388,2282%,,,
6,-361,-6017%,,,
11,-397,-3609%,,,
4,-361,-9025%,,,
7,-415,-5929%,,,
3,-415,-13833%,,,
7,-379,-5414%,,,
7,-460,-6571%,,,
8,-433,-5413%,,,
9,-352,-3911%,,,
8,-415,-5188%,,,
7,-325,-4643%,,,
-5,-343,6860%,,,
10,-442,-4420%,,,
11,-343,-3118%,,,
11,-424,-3855%,,,
9,-379,-4211%,,,
-12,-352,2933%,,,
-12,-388,3233%,,,
3,-397,-13233%,,,
8,-312,-3900%,,,
2,-406,-20300%,,,
13,-415,-3192%,,,
10,-370,-3700%,,,
-2,-379,18950%,,,
-33,-370,1121%,,,
10,-469,-4690%,,,
1,-460,-46000%,,,
-48,-442,921%,,,
-19,-352,1853%,,,
-3,-388,12933%,,,
0,-424,#DIV/0!,,,
